标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
堰新家园6期 毛坯大三房 中间楼层 视野开阔 诚心出售,堰新家园 ,堰桥, 130万,"10,436元/平",3室2厅 , 124.58平米 , 南 , 毛坯 , 中楼层,共31层, 板塔结合
乐泉花园 位置好 配套齐全 户型好,乐泉花园 ,钱桥, 166万,"12,510元/平",3室2厅 , 132.7平米 , 南 , 精装 , 高楼层,共10层, 板塔结合
奥林匹克花园 3室2厅 南,奥林匹克花园 ,堰桥, 165万,"17,023元/平",3室2厅 , 96.93平米 , 南 , 精装 , 中楼层,共18层, 板楼
此房满五唯一通透格局视野开阔采光充足配套齐全,阳光100米娅公馆 ,西漳, 108万,"10,877元/平",3室1厅 , 99.3平米 , 南 , 精装 , 高楼层,共18层, 板楼
北区东区，采光视野好，目前自住，大两房，看中可谈,阳光100国际新城北区 ,西漳, 125万,"12,779元/平",2室2厅 , 97.82平米 , 南 , 精装 , 高楼层,共18层, 板楼
九未用，楼层好，采光好，看房方便，楼间距宽,理想城市花园十期 ,堰桥, 200万,"17,430元/平",3室2厅 , 114.75平米 , 南 北 , 精装 , 高楼层,共24层, 板塔结合
万达旁清水湾，顶楼复式，临湖，位置好视野阔，有钥匙,华夏清水湾 ,堰桥, 248万,"10,588元/平",5室2厅 , 234.23平米 , 南 北 , 毛坯 , 高楼层,共5层, 板楼
近奥特莱斯  近地铁   房 东诚心卖,明发商业广场 ,西漳, 58万,"9,570元/平",1室1厅 , 60.61平米 , 西 , 简装 , 高楼层,共17层, 塔楼
嘉洲花园 小高层边套南北通三房 业主诚心出售,嘉洲花园洋房 ,堰桥, 195万,"14,545元/平",3室2厅 , 134.07平米 , 南 , 简装 , 中楼层,共11层, 板塔结合
精装修出行有地铁购物楼下有菜市场,理想城市花园十期 ,堰桥, 165万,"18,340元/平",2室1厅 , 89.97平米 , 南 , 精装 , 中楼层,共24层, 板楼
周巷新村 位置好 出行方便 配套齐全,周巷新村 ,钱桥, 99万,"9,602元/平",3室2厅 , 103.11平米 , 南 , 精装 , 高楼层,共7层, 板楼
次新房中高楼层视野开阔 采光无遮挡 诚心出售,阳光100阿尔勒 ,西漳, 140万,"15,025元/平",3室2厅 , 93.18平米 , 南 , 精装 , 中楼层,共34层, 板楼
70年产权 近奥特莱斯 近天一地铁,明发商业广场 ,西漳, 50万,"10,463元/平",1室1厅 , 47.79平米 , 南 , 简装 , 中楼层,共17层, 塔楼
小高层中间楼层，采光充足无遮挡。。。,融创·亚美利加 ,堰桥, 260万,"22,760元/平",3室2厅 , 114.24平米 , 南 , 精装 , 低楼层,共11层, 板塔结合
奥林小2房，全屋地暖，楼层好，采光好，诚心卖，方便,奥林匹克花园 ,堰桥, 145万,"19,723元/平",2室1厅 , 73.52平米 , 南 , 精装 , 中楼层,共18层, 板楼
橡树湾精装修大3房，楼层位置好，采光好，房东好诚心,华润橡树湾（二期三期） ,堰桥, 180万,"15,398元/平",3室2厅 , 116.9平米 , 南 , 精装 , 低楼层,共33层, 板楼
新上优质房源，自住保养新，采光视野无遮挡，诚心卖,西溪碧桂园 ,钱桥, 125万,"13,111元/平",3室2厅 , 95.34平米 , 南 , 精装 , 低楼层,共18层, 板楼
采光无遮挡 配套齐全 小区环境好 人车分流,百乐和园 ,钱桥, 189.8万,"15,488元/平",4室2厅 , 122.55平米 , 东南 , 毛坯 , 中楼层,共32层, 板塔结合
7楼 小区第二排 采光好 地铁西漳站500米,寺头家园三期 ,西漳, 110万,"12,831元/平",2室2厅 , 85.73平米 , 南 北 , 毛坯 , 低楼层,共33层, 板楼
繁华商圈，户型方正，装修保养好,明发·国际新城（西区） ,西漳, 138万,"15,288元/平",2室2厅 , 90.27平米 , 南 , 精装 , 高楼层,共18层, 板塔结合
张镇家园电梯房 中间楼层 采光好 看房方便,张镇家园六期 ,洛社, 102万,"8,870元/平",3室2厅 , 115平米 , 南 , 毛坯 , 中楼层,共18层, 板楼
小周新村 视野宽阔 采光充足， 配套齐全，交通便利,小周新村 ,洛社, 77万,"8,977元/平",3室1厅 , 85.78平米 , 南 , 简装 , 中楼层,共5层, 暂无数据
房子满五唯一 采光好 房东诚心卖 交通好 首付低,阳光100国际新城北区 ,西漳, 85万,"10,261元/平",2室2厅 , 82.84平米 , 西 , 精装 , 中楼层,共33层, 塔楼
70年产权公寓 朝南 楼下就是奥特莱斯,明发商业广场 ,西漳, 56万,"13,920元/平",1室1厅 , 40.23平米 , 南 , 精装 , 中楼层,共14层, 板塔结合
满五年唯一，三开间朝南 采光好视野开阔,阳光100国际新城北区 ,西漳, 119万,"9,579元/平",3室2厅 , 124.24平米 , 南 , 精装 , 高楼层,共33层, 板塔结合
晴山蓝城3年前婚装 设施全留产权清晰满5唯一,晴山蓝城 ,钱桥, 130万,"14,711元/平",2室2厅 , 88.37平米 , 南 , 精装 , 高楼层,共6层, 板楼
房东自住装修，公寓式住宅，刚需,明发商业广场 ,西漳, 86万,"11,298元/平",2室2厅 , 76.12平米 , 东南 , 精装 , 高楼层,共14层, 塔楼
房子自住装修 可以拎包入住，诚信出售,水岸花城 ,钱桥, 108万,"11,994元/平",2室2厅 , 90.05平米 , 南 北 , 精装 , 高楼层,共6层, 板楼
房东诚心出售，楼层好，采光好。小区环境好，满五唯一,奥林匹克花园 ,堰桥, 255万,"18,777元/平",4室2厅 , 135.81平米 , 南 , 毛坯 , 高楼层,共33层, 板楼
万达旁，精装好房。采光良好，总价低。,华夏清水湾 ,堰桥, 125万,"14,998元/平",2室2厅 , 83.35平米 , 南 , 简装 , 高楼层,共11层, 板楼
小户型总价低 精装拎包入住 楼层采光好,融创·亚美利加 ,堰桥, 99.9万,"19,047元/平",1室1厅 , 52.45平米 , 南 北 , 精装 , 高楼层,共18层, 板塔结合
橙园婚装大两房 九成新 家电家具全留 可随时看房,洛城橙园 ,洛社, 115万,"11,975元/平",2室2厅 , 96.04平米 , 南 , 精装 , 低楼层,共18层, 板楼
金都花园，生活配套齐全，交通出行便利,金都花园 ,堰桥, 120万,"12,323元/平",2室1厅 , 97.38平米 , 南 , 毛坯 , 中楼层,共27层, 板楼
先看装修 会让你眼前一亮 拎包入住 配套好,绿地世纪城三期 ,堰桥, 155万,"17,418元/平",2室2厅 , 88.99平米 , 南 , 精装 , 低楼层,共33层, 板塔结合
美的国宾府，精装洋房，带车位，三开间朝南,美的国宾府 ,西漳, 310万,"25,720元/平",3室2厅 , 120.53平米 , 南 北 , 精装 , 中楼层,共11层, 板塔结合
百乐和园 次新房 三开间朝南 得房率高 视野宽阔采光足,百乐和园 ,钱桥, 160万,"18,147元/平",3室1厅 , 88.17平米 , 南 , 精装 , 高楼层,共31层, 板楼
御金花园 毛坯带花园别墅 随时可以看房,明发.御金花园 ,西漳, 650万,"18,603元/平",4室2厅 , 349.42平米 , 南 北 , 毛坯 ,,, 平房
此房位置处于百乐广场西边，是一个闹中取静的小区,站头新村二期 ,钱桥, 105万,"10,195元/平",2室1厅 , 103平米 , 南 , 简装 , 低楼层,共11层, 暂无数据
繁华商圈，户型方正，装修保养好,明发·国际新城（西区） ,西漳, 138万,"15,288元/平",2室2厅 , 90.27平米 , 南 , 精装 , 高楼层,共18层, 板塔结合
美林湖精装三房出售，满五年，楼层好！,美林湖花园 ,钱桥, 170万,"15,381元/平",3室2厅 , 110.53平米 , 南 , 精装 ,,, 塔楼
阿尔勒二期次新房小区  采光好  视野开阔,阳光100阿尔勒 ,西漳, 116万,"12,851元/平",3室2厅 , 90.27平米 , 南 , 精装 , 中楼层,共34层, 板楼
银河湾紫苑 联排别墅 带院子和车位 随时看房,紫苑 ,西漳, 500万,"19,649元/平",4室3厅 , 254.47平米 , 南 , 毛坯 , 低楼层,共4层, 暂无数据
美的国宾府，精装洋房，带车位，三开间朝南,美的国宾府 ,西漳, 310万,"25,720元/平",3室2厅 , 120.53平米 , 南 北 , 精装 , 中楼层,共11层, 板塔结合
7楼 小区第二排 采光好 地铁西漳站500米,寺头家园三期 ,西漳, 110万,"12,831元/平",2室2厅 , 85.73平米 , 南 北 , 毛坯 , 低楼层,共33层, 板楼
满五唯一，精装修三房，楼层佳采光视野好，业主诚售,阳光100国际新城北区 ,西漳, 118万,"10,917元/平",3室2厅 , 108.09平米 , 东 , 精装 , 高楼层,共33层, 板塔结合
新上优质房源，自住保养新，采光视野无遮挡，诚心卖,西溪碧桂园 ,钱桥, 125万,"13,111元/平",3室2厅 , 95.34平米 , 南 , 精装 , 低楼层,共18层, 板楼
融创银城 大户型 好楼层 开发商精装 四室两厅两卫,融创银城惠山国际社区 ,洛社, 216万,"15,627元/平",4室2厅 , 138.23平米 , 南 , 精装 , 中楼层,共14层, 板楼
户型正气 楼梯房顶复 采光充足 小区环境优美,天润园南区 ,西漳, 150万,"14,471元/平",4室2厅 , 103.66平米 , 南 北 , 精装 , 高楼层,共6层, 板楼
中高楼层 设计师精品装修 中上楼层视野采光佳,广汇金色华府 ,西漳, 158万,"16,622元/平",3室2厅 , 95.06平米 , 南 , 精装 , 高楼层,共31层, 板塔结合
广汇金色华府 全新毛坯3房 视线佳 双阳台 配套齐全,广汇金色华府 ,西漳, 152万,"15,990元/平",3室2厅 , 95.06平米 , 南 , 毛坯 , 高楼层,共31层, 板楼
洋房顶复165平 东边套 客厅连接双阳台 另带有露台,塞纳公馆 ,玉祁, 168万,"10,188元/平",4室2厅 , 164.9平米 , 东 西 , 简装 , 高楼层,共7层, 板楼
得房率高，楼层好，采光视野好，诚心出售,阳光100米娅公馆 ,西漳, 160万,"13,426元/平",3室1厅 , 119.18平米 , 南 , 精装 , 中楼层,共24层, 板楼
米娅公馆三开间朝南户型小区中间位置,阳光100米娅公馆 ,西漳, 120万,"13,837元/平",2室2厅 , 86.73平米 , 南 , 精装 , 低楼层,共18层, 板楼
设计师精品装修 中上楼层视野采光佳,广汇金色华府 ,西漳, 175万,"17,127元/平",3室1厅 , 102.18平米 , 南 , 精装 , 低楼层,共32层, 板楼
百乐和园 次新房 三开间朝南 得房率高 视野宽阔采光足,百乐和园 ,钱桥, 160万,"18,147元/平",3室1厅 , 88.17平米 , 南 , 精装 , 高楼层,共31层, 板楼
地铁口房源复试挑高开发商交付好楼层诚心出售,太平洋城中城天一公馆 ,西漳, 76万,"11,892元/平",2室2厅 , 63.91平米 , 东南 , 毛坯 , 低楼层,共25层, 板楼
洋溪人家精装1室，保养好拎包住，楼层好，诚心卖可谈,洋溪人家 ,钱桥, 63万,"12,436元/平",1室1厅 , 50.66平米 , 南 , 精装 , 中楼层,共7层, 暂无数据
沁春园电梯洋房 户型方正，采光好,沁春园 ,西漳, 123万,"13,652元/平",2室2厅 , 90.1平米 , 南 北 , 精装 , 低楼层,共11层, 板楼
此房精装修 拎包入住 中上楼层采光视野无遮挡,百乐和园 ,钱桥, 228万,"18,398元/平",4室1厅 , 123.93平米 , 东南 , 精装 , 高楼层,共31层, 板楼
美的婚装大四房 好楼层 价格能聊 诚心卖,美的国宾府 ,西漳, 257万,"20,032元/平",4室2厅 , 128.3平米 , 南 , 精装 , 高楼层,共33层, 暂无数据
北区总高11楼洋房一梯两户得房高  精心装修保养好,阳光100国际新城北区 ,西漳, 168万,"13,255元/平",3室1厅 , 126.75平米 , 南 , 精装 , 低楼层,共10层, 板塔结合
美的国宾府 全新4房 中上层 环境好  人车分流,美的国宾府 ,西漳, 258万,"20,110元/平",4室2厅 , 128.3平米 , 南 , 精装 , 中楼层,共33层, 暂无数据
采光无遮挡 配套齐全 小区环境好 人车分流,百乐和园 ,钱桥, 189.8万,"15,488元/平",4室2厅 , 122.55平米 , 东南 , 毛坯 , 中楼层,共32层, 板塔结合
精装修顶带阁 房间多 可利用空间大 采光好,锦绣苑 ,洛社, 130万,"8,715元/平",4室2厅 , 149.17平米 , 南 , 精装 , 高楼层,共6层, 板楼
洛城雅锦园 精装大三房 带中空调 地暖 新风,洛城雅锦园 ,洛社, 155万,"12,033元/平",3室2厅 , 128.82平米 , 南 , 精装 , 高楼层,共26层, 板楼
阿尔勒次新房小区户型方正看房方便,阳光100阿尔勒 ,西漳, 108万,"12,017元/平",3室1厅 , 89.88平米 , 南 , 简装 , 高楼层,共34层, 板楼
高层视野开阔，精装保养新，家具家电齐全，交通便利,阳光100国际新城北区 ,西漳, 140万,"11,258元/平",3室2厅 , 124.36平米 , 西南 , 精装 , 高楼层,共33层, 塔楼
毛坯商品房，随意装修，可随时看房,寺头家园三期 ,西漳, 105万,"12,529元/平",2室1厅 , 83.81平米 , 南 , 毛坯 , 低楼层,共33层, 板楼
育才路小区大3室2 厅，高楼层采光通风良好看房方便,育才路 ,钱桥, 125万,"8,511元/平",3室2厅 , 146.88平米 , 东南 , 简装 , 高楼层,共6层, 板楼
水岸花城精装修2室2厅，户型正气，业主诚心出售。,水岸花城 ,钱桥, 125万,"14,415元/平",2室2厅 , 86.72平米 , 南 , 精装 , 低楼层,共11层, 板楼
金科集美精装3室2厅，满二环境优美，采光通风好,金科集美壹品 ,钱桥, 159万,"16,112元/平",3室2厅 , 98.69平米 , 南 , 精装 , 高楼层,共29层, 板楼
集视野与景观为一体的次新房三房朝南躺在床上看惠山,百乐和园 ,钱桥, 199万,"16,171元/平",3室2厅 , 123.06平米 , 南 , 毛坯 , 高楼层,共31层, 板楼
洋溪人家 纯毛坯 顶带阁 实用面积大 采光佳,洋溪人家 ,钱桥, 90万,"9,506元/平",3室2厅 , 94.68平米 , 南 , 毛坯 , 高楼层,共6层, 暂无数据
藕乐苑 顶楼带阁楼 精装小三房 实用面积大 采光足,藕乐苑 ,钱桥, 105万,"9,749元/平",4室2厅 , 107.71平米 , 南 , 简装 , 高楼层,共7层, 暂无数据
寺头两房，地铁口，公园旁，交通方便。,寺头家园二期 ,西漳, 126万,"15,024元/平",2室1厅 , 83.87平米 , 南 , 精装 , 高楼层,共26层, 板楼
洋溪人家电梯房大2室毛坯房楼层位置好,洋溪人家 ,钱桥, 95万,"8,689元/平",2室2厅 , 109.34平米 , 南 , 毛坯 , 低楼层,共18层, 板楼
勤新南苑 2室2厅 南 北,勤新南苑 ,钱桥, 97万,"10,226元/平",2室2厅 , 94.86平米 , 南 北 , 毛坯 , 中楼层,共6层, 暂无数据
未来万达旁 融创银城  精装三房 九成新,融创银城惠山国际社区 ,洛社, 130万,"14,756元/平",3室2厅 , 88.1平米 , 南 , 精装 , 高楼层,共33层, 板楼
寺头三期毛坯三房，商品房没有土出，价格可谈，,寺头家园三期 ,西漳, 145万,"13,060元/平",3室2厅 , 111.03平米 , 南 , 简装 , 高楼层,共33层, 板楼
隆舜园3室2厅2卫，高楼层，诚心出售。chif,隆舜园 ,钱桥, 135万,"10,614元/平",3室2厅 , 127.2平米 , 南 北 , 精装 , 高楼层,共6层, 暂无数据
高层前排，采光好，精装修，通透3房，拎包入住,洛城雅锦园 ,洛社, 105万,"11,782元/平",2室2厅 , 89.12平米 , 南 , 精装 , 低楼层,共26层, 板楼
金苏公寓精装修大3室，户型通透，看房方便。,金苏公寓 ,钱桥, 135万,"9,572元/平",3室2厅 , 141.04平米 , 南 , 精装 , 低楼层,共33层, 板楼
梅林春苑精装修3室2厅边套，户型正气，看房随时。,梅林春苑 ,钱桥, 137万,"10,143元/平",3室2厅 , 135.07平米 , 南 北 , 精装 , 高楼层,共6层, 暂无数据
春光苑精装修两房朝南，低楼层，带独立车库(精装),春光苑 ,钱桥, 108万,"14,546元/平",2室2厅 , 74.25平米 , 南 北 , 精装 , 低楼层,共6层, 暂无数据
金苏公寓精装两室，户型通透，看房方便,金苏公寓 ,钱桥, 117万,"11,904元/平",2室2厅 , 98.29平米 , 南 北 , 精装 , 中楼层,共33层, 板楼
中上楼层采光好，随时可看，包土出房东诚心售,寺头家园二期 ,西漳, 96万,"11,324元/平",2室2厅 , 84.78平米 , 南 , 其他 , 中楼层,共26层, 板楼
大三房户型 格局方正 南北通透 诚心出,天一花园 ,西漳, 165万,"11,743元/平",3室2厅 , 140.52平米 , 南 北 , 其他 , 低楼层,共6层, 板楼
交通便利 配套齐全 好楼层 视野采光佳 诚售等有缘人,绿地世纪城三期 ,堰桥, 155万,"17,418元/平",3室2厅 , 88.99平米 , 南 , 精装 , 高楼层,共33层, 板塔结合
阿尔勒次新房小区户型方正看房方便,阳光100阿尔勒 ,西漳, 108万,"12,017元/平",3室1厅 , 89.88平米 , 南 , 简装 , 高楼层,共34层, 板楼
乐泉花园新出大三房 户型正气 商品房 看房方便,乐泉花园 ,钱桥, 150万,"11,304元/平",3室2厅 , 132.7平米 , 南 , 精装 , 低楼层,共10层, 板塔结合
百乐和园 采光无遮挡 精装修 拎包入住 楼层好,百乐和园 ,钱桥, 215万,"17,374元/平",4室1厅 , 123.75平米 , 南 , 精装 , 低楼层,共31层, 板楼
精装修顶带阁 房间多 可利用空间大 采光好,锦绣苑 ,洛社, 130万,"8,715元/平",4室2厅 , 149.17平米 , 南 , 精装 , 高楼层,共6层, 板楼
洛城雅锦园 精装大三房 带中空调 地暖 新风,洛城雅锦园 ,洛社, 155万,"12,033元/平",3室2厅 , 128.82平米 , 南 , 精装 , 高楼层,共26层, 板楼
万荟城精装朝南公寓 双地铁 拎包入住,万荟城 ,刘潭, 30万,"7,979元/平",1室1厅 , 37.6平米 , 北 , 精装 , 高楼层,共29层, 板楼
次新小区、环境好、人车半分流。,时代城（锡溪名邸） ,钱桥, 130万,"13,614元/平",3室2厅 , 95.49平米 , 北 南 , 精装 , 高楼层,共32层, 塔楼
此房精装修 拎包入住 婚装房，面积大，一梯两户,乐多花园 ,钱桥, 120万,"11,903元/平",2室1厅 , 100.82平米 , 南 北 , 简装 , 高楼层,共6层, 板楼
勤新南苑 2室2厅 南 北,勤新南苑 ,钱桥, 97万,"10,226元/平",2室2厅 , 94.86平米 , 南 北 , 毛坯 , 中楼层,共6层, 暂无数据
金苏公寓精装修大3室，户型通透，看房方便。,金苏公寓 ,钱桥, 135万,"9,572元/平",3室2厅 , 141.04平米 , 南 , 精装 , 低楼层,共33层, 板楼
春光苑精装修两房朝南，低楼层，带独立车库(精装),春光苑 ,钱桥, 108万,"14,546元/平",2室2厅 , 74.25平米 , 南 北 , 精装 , 低楼层,共6层, 暂无数据
洋溪人家电梯房大2室毛坯房楼层位置好,洋溪人家 ,钱桥, 95万,"8,689元/平",2室2厅 , 109.34平米 , 南 , 毛坯 , 低楼层,共18层, 板楼
金苏公寓精装两室，户型通透，看房方便,金苏公寓 ,钱桥, 117万,"11,904元/平",2室2厅 , 98.29平米 , 南 北 , 精装 , 中楼层,共33层, 板楼
高层前排，采光好，精装修，通透3房，拎包入住,洛城雅锦园 ,洛社, 105万,"11,782元/平",2室2厅 , 89.12平米 , 南 , 精装 , 低楼层,共26层, 板楼
梅林春苑精装修3室2厅边套，户型正气，看房随时。,梅林春苑 ,钱桥, 137万,"10,143元/平",3室2厅 , 135.07平米 , 南 北 , 精装 , 高楼层,共6层, 暂无数据
生活方便，交通便利，环境优美，精装修，采光好,时代城（锡溪名邸） ,钱桥, 119万,"12,464元/平",3室2厅 , 95.48平米 , 东南 , 精装 , 高楼层,共34层, 板塔结合
有院子，精装修，景观轴范围，楼间距大,阳光100阿尔勒 ,西漳, 120万,"12,943元/平",3室2厅 , 92.72平米 , 南 , 精装 , 低楼层,共26层, 板楼
洛社融创西羲里开发商精装三房两卫，业主诚售,融创·西羲里 ,洛社, 170万,"15,740元/平",3室2厅 , 108.01平米 , 南 , 精装 , 低楼层,共32层, 板楼
此房精装修 拎包入住 房东诚心出售 采光无遮挡,港龙财智国际 ,钱桥, 43万,"8,645元/平",2室1厅 , 49.74平米 , 西南 , 精装 , 中楼层,共21层, 塔楼
葑溪园 3室1厅 南,葑溪园 ,石塘湾, 95万,"8,271元/平",3室1厅 , 114.86平米 , 南 , 简装 , 中楼层,共11层, 板楼
生活方便，交通便利，环境优美，精装修，采光好,时代城（锡溪名邸） ,钱桥, 135万,"13,777元/平",3室1厅 , 97.99平米 , 南 , 精装 , 高楼层,共34层, 暂无数据
维景苑 急售婚装 三房 87平148万 钥匙在手 随时看房,维景苑 ,钱桥, 148万,"16,695元/平",3室2厅 , 88.65平米 , 南 , 精装 , 高楼层,共17层, 板塔结合
华府标准两房户型  居家精装修未住过,嘉利华府庄园十区 ,堰桥, 125万,"14,329元/平",2室2厅 , 87.24平米 , 南 , 精装 , 中楼层,共26层, 板楼
寺头刚需户型 商品房 毛坯诚心出售,寺头家园 ,西漳, 71万,"10,479元/平",2室1厅 , 67.76平米 , 南 , 毛坯 , 中楼层,共28层, 板楼
地铁口 隆舜园三室精装 有阁楼 满5年 诚意卖,隆舜园 ,钱桥, 120万,"9,978元/平",3室2厅 , 120.27平米 , 南 北 , 精装 , 高楼层,共6层, 板楼
此房为两房户型  楼层好采光佳  房东诚心出售,阳光100阿尔勒 ,西漳, 85万,"11,567元/平",2室2厅 , 73.49平米 , 南 , 精装 , 低楼层,共34层, 板楼
户型好，采光充足，产权清晰 随时签约 ，交通便利,明发·国际新城（西区） ,西漳, 220万,"15,742元/平",4室2厅 , 139.76平米 , 南 , 精装 , 高楼层,共22层, 板楼
寺头家园！商品房，精装大三房！全新装修！领包入住！,寺头家园二期 ,西漳, 170万,"14,934元/平",3室1厅 , 113.84平米 , 南 , 精装 , 低楼层,共26层, 板楼
洛社全新电梯商品房、精装修、配套齐全交通便利,融创银城惠山国际社区 ,洛社, 133万,"12,506元/平",3室2厅 , 106.35平米 , 南 , 精装 , 低楼层,共24层, 板楼
生活方便，交通便利，环境优美，精装修，采光好,时代城（锡溪名邸） ,钱桥, 130万,"12,923元/平",3室1厅 , 100.6平米 , 南 , 精装 , 高楼层,共34层, 板楼
楼层好 三开间朝阳，户型好，空间大，视野好,天一城A区 ,西漳, 200万,"14,235元/平",3室2厅 , 140.5平米 , 南 , 精装 , 中楼层,共17层, 板楼
自住精装修 保养好 楼栋位置好 诚心出售 看房方便,融创银城惠山国际社区 ,洛社, 156万,"15,000元/平",3室2厅 , 104平米 , 南 北 , 精装 , 低楼层,共34层, 板楼
米娅公馆朝南精装三房，视野无遮挡 房东诚心出售,阳光100米娅公馆 ,西漳, 129万,"10,838元/平",3室2厅 , 119.03平米 , 南 , 精装 , 低楼层,共24层, 板楼
美林湖花园两房 小区环境优美 户型方正,美林湖花园 ,钱桥, 125万,"14,071元/平",2室2厅 , 88.84平米 , 南 , 简装 ,,, 板楼
户型方正前排视野好看房方便有钥匙,阳光100阿尔勒 ,西漳, 133万,"14,664元/平",3室2厅 , 90.7平米 , 南 , 简装 , 中楼层,共18层, 塔楼
奥凯纯毛坯两房 满2年 看房方便 诚心出售,铭悦府 ,前洲, 73万,"9,678元/平",2室2厅 , 75.43平米 , 南 , 毛坯 , 低楼层,共34层, 塔楼
此房满五唯一精装修，中间楼层，采光好视野开阔,明发·国际新城（西区） ,西漳, 178万,"14,662元/平",3室2厅 , 121.41平米 , 南 , 精装 , 中楼层,共11层, 板塔结合
大露台50平独立自用  电梯房  不是顶楼,天河小区 ,刘潭, 160万,"14,873元/平",3室2厅 , 107.58平米 , 南 , 精装 , 低楼层,共16层, 板楼
视野宽阔，采光充足，朝南阳台户型房东诚心出售,弘阳昕悦棠 ,前洲, 110万,"11,417元/平",3室2厅 , 96.35平米 , 南 , 精装 , 低楼层,共33层, 暂无数据
港龙精装51平45万 随时看房,港龙财智国际 ,钱桥, 41万,"7,993元/平",1室1厅 , 51.3平米 , 南 , 简装 , 中楼层,共21层, 平房
边套双拼别墅 带电梯 一楼烟火气 楼上舒适,惠太雅苑 ,西漳, 1150万,"55,385元/平",6室2厅 , 207.64平米 , 南 , 精装 , 低楼层,共4层, 暂无数据
大露台50平独立自用  电梯房  不是顶楼,天河小区 ,刘潭, 160万,"14,873元/平",3室2厅 , 107.58平米 , 南 , 精装 , 低楼层,共16层, 板楼
户型方正前排视野好看房方便有钥匙,阳光100阿尔勒 ,西漳, 133万,"14,664元/平",3室2厅 , 90.7平米 , 南 , 简装 , 中楼层,共18层, 塔楼
此房精装修 拎包入住 中上楼层 采光视野无遮挡,时代城（锡溪名邸） ,钱桥, 178万,"14,012元/平",4室2厅 , 127.04平米 , 南 , 精装 , 高楼层,共32层, 塔楼
美林湖花园两房 小区环境优美 户型方正,美林湖花园 ,钱桥, 125万,"14,071元/平",2室2厅 , 88.84平米 , 南 , 简装 ,,, 板楼
奥凯纯毛坯两房 满2年 看房方便 诚心出售,铭悦府 ,前洲, 73万,"9,678元/平",2室2厅 , 75.43平米 , 南 , 毛坯 , 低楼层,共34层, 塔楼
此房满五唯一精装修，中间楼层，采光好视野开阔,明发·国际新城（西区） ,西漳, 178万,"14,662元/平",3室2厅 , 121.41平米 , 南 , 精装 , 中楼层,共11层, 板塔结合
顶楼带阁楼，阁楼也有装修，户型利用率很高,天润园北区 ,西漳, 78万,"10,624元/平",2室1厅 , 73.42平米 , 南 , 简装 , 高楼层,共6层, 板楼
此房户型好. 配套齐全 小区环境好 人车分流大平层.,百乐和园 ,钱桥, 366万,"19,987元/平",4室2厅 , 183.12平米 , 南 北 , 精装 , 低楼层,共33层, 板楼
中，央御景红房子，电梯洋房6楼的3楼，有20平储藏室,洛城中央御景 ,洛社, 234万,"17,058元/平",3室1厅 , 137.18平米 , 南 , 精装 , 中楼层,共6层, 板楼
米娅公馆朝南精装三房，视野无遮挡 房东诚心出售,阳光100米娅公馆 ,西漳, 129万,"10,838元/平",3室2厅 , 119.03平米 , 南 , 精装 , 低楼层,共24层, 板楼
房东诚心出售 包车位次新小区 环境好一次也没住过,美的国宾府 ,西漳, 273万,"21,397元/平",4室2厅 , 127.59平米 , 南 , 精装 , 中楼层,共34层, 暂无数据
美林湖三室二厅一卫，环境优美。,美林湖花园 ,钱桥, 118万,"12,279元/平",2室1厅 , 96.1平米 , 南 , 精装 ,,, 塔楼
中间楼层，劲爆价格，南北格局，视野宽阔，采光充足。,明发·国际新城（东区） ,西漳, 144万,"14,974元/平",3室2厅 , 96.17平米 , 南 , 毛坯 , 中楼层,共11层, 板楼
有大露台，户型方正，百乐和园，看房随时,百乐和园 ,钱桥, 309万,"22,042元/平",4室2厅 , 140.19平米 , 南 , 精装 , 低楼层,共31层, 板楼
凤凰社边套 双外可入 家具家电齐全 拎包入住,阳光100国际新城南区 ,刘潭, 70万,"10,587元/平",2室2厅 , 66.12平米 , 东北 , 精装 , 低楼层,共28层, 板塔结合
维景苑 急售婚装 三房 87平148万 钥匙在手 随时看房,维景苑 ,钱桥, 148万,"16,695元/平",3室2厅 , 88.65平米 , 南 , 精装 , 高楼层,共17层, 板塔结合
地铁口 隆舜园三室精装 有阁楼 满5年 诚意卖,隆舜园 ,钱桥, 120万,"9,978元/平",3室2厅 , 120.27平米 , 南 北 , 精装 , 高楼层,共6层, 板楼
此房为两房户型  楼层好采光佳  房东诚心出售,阳光100阿尔勒 ,西漳, 85万,"11,567元/平",2室2厅 , 73.49平米 , 南 , 精装 , 低楼层,共34层, 板楼
寺头家园！商品房，精装大三房！全新装修！领包入住！,寺头家园二期 ,西漳, 170万,"14,934元/平",3室1厅 , 113.84平米 , 南 , 精装 , 低楼层,共26层, 板楼
寺头刚需户型 商品房 毛坯诚心出售,寺头家园 ,西漳, 71万,"10,479元/平",2室1厅 , 67.76平米 , 南 , 毛坯 , 中楼层,共28层, 板楼
华府标准两房户型  居家精装修未住过,嘉利华府庄园十区 ,堰桥, 125万,"14,329元/平",2室2厅 , 87.24平米 , 南 , 精装 , 中楼层,共26层, 板楼
户型好，采光充足，产权清晰 随时签约 ，交通便利,明发·国际新城（西区） ,西漳, 220万,"15,742元/平",4室2厅 , 139.76平米 , 南 , 精装 , 高楼层,共22层, 板楼
