标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
江海新村 1室1厅 南 北,江海新村 ,塘南, 61万,"10,412元/平",1室1厅 , 58.59平米 , 南 北 , 精装 , 高楼层,共7层, 平房
长江路 叙丰家园 精装两房 诚心价可商 预约看房,叙丰家园东区 ,江溪, 70万,"9,559元/平",2室1厅 , 73.23平米 , 南 , 精装 , 低楼层,共18层, 板楼
户型好，采光充足，楼层好，房间都很大。,新洲人家 ,旺庄, 92万,"15,727元/平",3室2厅 , 58.5平米 , 南 , 精装 , 中楼层,共15层, 板楼
新港  不靠高架   业主诚售  随时看房,新港公寓(新吴区) ,旺庄, 108万,"10,299元/平",2室2厅 , 104.87平米 , 南 , 简装 , 中楼层,共32层, 板塔结合
实小旁：书香国际精装一居室，上学方便，采光好诚心卖,書香國際公寓 ,梅村, 84万,"17,008元/平",1室1厅 , 49.39平米 , 东 , 精装 , 高楼层,共14层, 板楼
万科物业 管理好 精装三房 户型方正，业主诚心出售,耘林生命公寓 ,新安, 178万,"20,184元/平",3室1厅 , 88.19平米 , 南 , 精装 , 低楼层,共11层, 板楼
此房小区前排，视野好，采光无遮挡，户型方正,春雷嘉苑 ,江溪, 110万,"16,759元/平",2室1厅 , 65.64平米 , 南 , 精装 , 中楼层,共6层, 板楼
精装修两房，中上楼层，视野开阔采光足，诚心卖随时看,泰伯花苑三区 ,梅村, 92万,"9,472元/平",2室2厅 , 97.13平米 , 南 , 精装 , 低楼层,共18层, 板楼
泰伯花苑三区  纯毛坯出售 产权清晰,泰伯花苑三区 ,梅村, 85万,"9,057元/平",3室1厅 , 93.86平米 , 南 北 , 毛坯 , 低楼层,共18层, 板楼
老街商品房 大四房通透户型 自住装修保养新,梅苑新村 ,梅村, 208万,"12,490元/平",4室2厅 , 166.54平米 , 南 , 精装 , 高楼层,共5层, 平房
泰伯三期 土出已交 自住精装两房 采光好 业主诚心出售,泰伯花苑三区 ,梅村, 112万,"12,062元/平",2室2厅 , 92.86平米 , 南 , 简装 , 中楼层,共6层, 板楼
实小旁：书香国际精装一居室，上学方便，采光好诚心卖,書香國際公寓 ,梅村, 84万,"17,008元/平",1室1厅 , 49.39平米 , 东 , 精装 , 高楼层,共14层, 板楼
满五唯一，刚需的福音，价格看上可以谈。,金海里 ,江溪, 82万,"12,372元/平",2室1厅 , 66.28平米 , 南 , 精装 , 高楼层,共7层, 板塔结合
新上房源！梁溪区无增值税低楼层，户型方正看房随时！,金海里 ,江溪, 89.8万,"13,332元/平",2室1厅 , 67.36平米 , 南 , 简装 , 低楼层,共7层, 板塔结合
长江绿岛一期  精装大三房 户型正  诚心急售 可看,长江绿岛一期 ,江溪, 178万,"13,574元/平",3室2厅 , 131.14平米 , 南 , 精装 , 高楼层,共32层, 塔楼
长江路 叙丰家园 精装两房 诚心价可商 预约看房,叙丰家园东区 ,江溪, 70万,"9,559元/平",2室1厅 , 73.23平米 , 南 , 精装 , 低楼层,共18层, 板楼
欧典南区 商品房 满五 三开间朝南,欧典家园南区 ,江溪, 166万,"13,098元/平",3室2厅 , 126.74平米 , 南 , 简装 , 低楼层,共5层, 板楼
简装两房，包土出，带租约车位，随时看房,东风家园 ,塘南, 130万,"13,894元/平",2室1厅 , 93.57平米 , 南 , 精装 , 中楼层,共31层, 板楼
新港公寓 复式5.2米挑高 3房 自住精装 满五唯一,新港公寓(新吴区) ,旺庄, 98万,"15,723元/平",3室2厅 , 62.33平米 , 南 北 , 精装 , 中楼层,共18层, 板塔结合
东鼎家园精装三房，入户花园，得房率高，看房方便,东鼎家园 ,旺庄, 175万,"13,954元/平",3室2厅 , 125.42平米 , 南 北 , 精装 , 低楼层,共18层, 塔楼
花园洋房，纯毛坯户型，背靠新之城购物广场,新城金郡 ,坊前, 276万,"23,884元/平",4室2厅 , 115.56平米 , 南 北 , 毛坯 , 中楼层,共11层, 板楼
70年产权 商品房不靠高架大两房 5.2米挑高 总价不过百,新港公寓(新吴区) ,旺庄, 98万,"13,438元/平",2室2厅 , 72.93平米 , 南 北 , 精装 , 中楼层,共18层, 板塔结合
三楼洋房，满五，看房联系维护人有密码,万科东郡 ,江溪, 185万,"19,613元/平",2室1厅 , 94.33平米 , 南 , 精装 , 中楼层,共5层, 板楼
地铁口精装边套一居室 楼层好业主诚心出售,长江绿岛一期 ,江溪, 71万,"12,297元/平",1室1厅 , 57.74平米 , 南 北 , 精装 , 中楼层,共32层, 塔楼
满五 不唯一 交通方便 位置好 地铁口近,叙丰家园东区 ,江溪, 80万,"9,687元/平",2室1厅 , 82.59平米 , 南 , 精装 , 低楼层,共18层, 板楼
长江绿岛三期，精装修大两房，小高层，诚心出售,长江绿岛三期 ,江溪, 185万,"16,916元/平",2室2厅 , 109.37平米 , 南 , 精装 , 高楼层,共15层, 板塔结合
复式精装，保养好。楼层适中，采光好，看房方便,阿尔法公馆 ,江溪, 52万,"10,535元/平",1室1厅 , 49.36平米 , 东 北 , 精装 , 高楼层,共21层, 板楼
阿尔法公馆 1室1厅 西,阿尔法公馆 ,江溪, 62万,"12,551元/平",1室1厅 , 49.4平米 , 西 , 精装 , 中楼层,共21层, 板楼
房子户型方正 采光刺眼 看房方便,华宇·观澜华府 ,坊前, 229万,"17,081元/平",4室1厅 , 134.07平米 , 南 北 , 毛坯 , 高楼层,共33层, 板楼
新洲人家挑高5.2商品房，70年产权有燃气，诚心出售,新洲人家 ,旺庄, 92万,"17,693元/平",2室1厅 , 52平米 , 东南 , 精装 , 中楼层,共15层, 板楼
新港国际两房90平，满五唯一仅需111万，看房方便！,新港公寓(新吴区) ,旺庄, 102万,"11,235元/平",2室1厅 , 90.79平米 , 南 , 精装 , 高楼层,共26层, 板塔结合
新港住宅小区 70年产权 不靠高架适合预算不高刚需群体,新港公寓(新吴区) ,旺庄, 99万,"10,385元/平",2室2厅 , 95.33平米 , 西南 , 简装 , 高楼层,共32层, 板塔结合
次新小区 人车分流 三开间朝南  中上楼层 环境优美,华宇·观澜华府 ,坊前, 149万,"19,174元/平",3室2厅 , 77.71平米 , 南 , 精装 , 高楼层,共33层, 平房
星尚公寓 3室2厅 南,星尚公寓 ,生态园, 180万,"13,692元/平",3室2厅 , 131.47平米 , 南 , 精装 , 低楼层,共18层, 板塔结合
富力桃园两房76平，次新小区满五唯一，钥匙看房！,富力桃园 ,旺庄, 130万,"17,086元/平",2室1厅 , 76.09平米 , 东南 , 简装 , 中楼层,共29层, 板楼
新丰苑一期西区 满五唯一 大两室 包土出 诚心出售,新丰苑一期 ,坊前, 110万,"11,725元/平",2室2厅 , 93.82平米 , 南 , 简装 , 高楼层,共6层, 板塔结合
融侨品质小区 公园旁 精装修三房 可拎包入住,融侨观邸一期 ,江溪, 260万,"21,062元/平",3室2厅 , 123.45平米 , 南 , 精装 , 高楼层,共33层, 板楼
带车位纯叠墅高 端社区 电梯独立入户位置好采光棒诚售,远洋湖墅 ,新安, 426万,"29,378元/平",3室2厅 , 145.01平米 , 南 , 毛坯 , 中楼层,共7层, 暂无数据
行创四路 三高中旁 东鼎家园116平米 三房,东鼎家园 ,旺庄, 142万,"12,230元/平",3室1厅 , 116.11平米 , 西南 , 精装 , 中楼层,共11层, 板楼
全屋地暖在租1万，带租金出售，全屋品牌家具家电,万科东郡 ,江溪, 260万,"19,047元/平",3室2厅 , 136.51平米 , 南 北 , 精装 , 中楼层,共30层, 板楼
虹桥医院旁 叙康里 精装 三房 自住 装修 保养好,叙康里 ,江溪, 174.9万,"14,015元/平",3室2厅 , 124.8平米 , 南 北 , 精装 , 高楼层,共7层, 板楼
朗诗绿色家园，三室两厅两卫。满五唯一，中上楼层,朗诗绿色家园一期 ,新安, 296万,"20,700元/平",3室2厅 , 143平米 , 南 , 精装 , 高楼层,共18层, 板塔结合
新上房源！金海里少有客厅带窗，中间楼层，三房！,金海里 ,江溪, 128万,"13,007元/平",3室2厅 , 98.41平米 , 南 , 简装 , 中楼层,共7层, 板塔结合
近地铁，两房朝南，采光好，房东诚售,叙康里 ,江溪, 88万,"12,390元/平",2室2厅 , 71.03平米 , 南 北 , 精装 , 低楼层,共9层, 板楼
叙康里电梯房，精装拎包入住，价格还有小来去,叙康里 ,江溪, 80万,"11,265元/平",2室1厅 , 71.02平米 , 南 , 简装 , 低楼层,共9层, 板楼
满五年+地铁口+大两房 采光视野好 看房方便 诚心出售,长江绿岛三期 ,江溪, 146万,"14,338元/平",2室2厅 , 101.83平米 , 南 , 精装 , 高楼层,共30层, 板塔结合
中海寰宇天下2区大三房2卫低价出售,中海寰宇天下东区 ,坊前, 190万,"17,561元/平",3室2厅 , 108.2平米 , 南 北 , 简装 , 中楼层,共34层, 板楼
春潮花园二区  电梯两房  中间楼层  新房龄,春潮花园二区 ,旺庄, 80万,"9,982元/平",2室2厅 , 80.15平米 , 南 , 毛坯 , 高楼层,共21层, 板楼
诚心出售 看好可谈 采光视野好交通便利配套成熟,国际一花园 ,坊前, 168万,"12,786元/平",3室2厅 , 131.4平米 , 南 , 精装 , 中楼层,共33层, 板楼
全明户型 婚装 采光很好，，，，，，，，，，，，，,叙康里 ,江溪, 79.8万,"12,064元/平",2室1厅 , 66.15平米 , 南 , 精装 , 高楼层,共7层, 板楼
国际一花园四期 次新房 大三房 南北通透户型,国际一花园 ,坊前, 179万,"15,879元/平",3室1厅 , 112.73平米 , 南 北 , 毛坯 , 高楼层,共34层, 板塔结合
好楼层好户型，大两房，出门地铁口，利华广场，急售,叙康里 ,江溪, 100万,"11,096元/平",2室1厅 , 90.13平米 , 南 , 精装 , 低楼层,共7层, 板楼
地铁口精装边套一居室 楼层好业主诚心出售,长江绿岛一期 ,江溪, 71万,"12,297元/平",1室1厅 , 57.74平米 , 南 北 , 精装 , 中楼层,共32层, 塔楼
三楼洋房，满五，看房联系维护人有密码,万科东郡 ,江溪, 185万,"19,613元/平",2室1厅 , 94.33平米 , 南 , 精装 , 中楼层,共5层, 板楼
带车位纯叠墅高 端社区 电梯独立入户位置好采光棒诚售,远洋湖墅 ,新安, 426万,"29,378元/平",3室2厅 , 145.01平米 , 南 , 毛坯 , 中楼层,共7层, 暂无数据
前排独栋别墅边户上下4层龙湖物业绿化高湖景别墅区。,龙湖滟澜山 ,新安, 920万,"29,734元/平",5室3厅 , 309.42平米 , 南 , 毛坯 , 低楼层,共3层, 暂无数据
央企品质中海打造自住精装修三房户型正视野佳配套齐全,中海寰宇天下东区 ,坊前, 170万,"19,214元/平",3室2厅 , 88.48平米 , 南 , 精装 , 高楼层,共33层, 板楼
次新小区 前后无遮挡 全新装修 好楼层 好位置,中海寰宇天下东区 ,坊前, 159万,"17,776元/平",3室2厅 , 89.45平米 , 南 , 精装 , 低楼层,共34层, 板楼
央企品质 近低贴 次新小区 精装大三房 看房方便,中海寰宇天下西区 ,坊前, 206万,"18,184元/平",3室1厅 , 113.29平米 , 南 , 精装 , 低楼层,共34层, 暂无数据
带100平北平台 ，7米大横厅，临湖叠加别墅，看房方便,远洋湖墅 ,新安, 408万,"24,698元/平",4室2厅 , 165.2平米 , 南 , 毛坯 , 中楼层,共7层, 暂无数据
广南里底楼双南双院子，自住精装修，家具家电全留,广南里 ,江溪, 96万,"14,374元/平",2室1厅 , 66.79平米 , 南 , 精装 , 低楼层,共7层, 板楼
春潮二区 电梯房 土出未交 中间楼层 诚心出售,春潮花园二区 ,旺庄, 98万,"10,433元/平",2室2厅 , 93.94平米 , 南 , 简装 , 中楼层,共24层, 板楼
：此房精装，拎包入住，钥匙看房，采光视野无遮挡,国际一花园 ,坊前, 135万,"12,390元/平",2室1厅 , 108.96平米 , 南 , 精装 , 高楼层,共33层, 板楼
虹桥医院旁 叙康里 精装 三房 自住 装修 保养好,叙康里 ,江溪, 174.9万,"14,015元/平",3室2厅 , 124.8平米 , 南 北 , 精装 , 高楼层,共7层, 板楼
富力桃园精装自住，中间楼层，三开间朝南,富力桃园 ,旺庄, 180万,"18,619元/平",3室2厅 , 96.68平米 , 南 , 简装 , 中楼层,共27层, 板楼
太科园板块次新小区电梯洋房，诚心出售,太湖雍华府 ,新安, 245万,"22,152元/平",3室2厅 , 110.6平米 , 东南 , 毛坯 , 低楼层,共8层, 暂无数据
商品房 满五唯一 价格便宜 采光好 小区中间位置,叙康里 ,江溪, 67万,"9,769元/平",2室1厅 , 68.59平米 , 南 , 精装 , 高楼层,共7层, 板楼
新上房源！金海里热门户型D铁口，采光刺眼，看房随时,金海里 ,江溪, 79万,"11,994元/平",2室1厅 , 65.87平米 , 南 , 简装 , 中楼层,共7层, 板塔结合
叙康里 两房朝南 全明户型 楼层好 位置佳 全天采光,叙康里 ,江溪, 90万,"11,552元/平",2室2厅 , 77.91平米 , 南 , 简装 , 中楼层,共7层, 板楼
地铁三号线永乐东路成熟小区东风家园精装精致1+2户型,东风家园 ,塘南, 96万,"13,149元/平",2室1厅 , 73.01平米 , 南 , 精装 , 高楼层,共33层, 板楼
3号线地铁口  交通便利 周bian 配套齐全,金轮星光名座生活广场 ,江溪, 44万,"9,846元/平",1室1厅 , 44.69平米 , 南 , 精装 , 高楼层,共13层, 塔楼
华润江南府 地铁荟聚 边套全明 楼层好！,华润江南府南区 ,东亭, 158万,"15,515元/平",3室2厅 , 101.84平米 , 南 , 简装 , 中楼层,共34层, 板楼
复式格局得房率高，精装修拎包入住，诚心出售价格可谈,阿卡迪亚（天骄铭邸） ,新安, 198万,"18,944元/平",3室2厅 , 104.52平米 , 南 , 精装 , 低楼层,共16层, 板楼
房东 诚心出售 看房方便，有钥匙 随时可以看房,上品花园 ,梅村, 135万,"14,663元/平",3室2厅 , 92.07平米 , 北 , 精装 , 中楼层,共27层, 板楼
融侨品质小区 公园旁 精装修三房 可拎包入住,融侨观邸一期 ,江溪, 260万,"21,062元/平",3室2厅 , 123.45平米 , 南 , 精装 , 高楼层,共33层, 板楼
新丰苑一期西区 满五唯一 大两室 包土出 诚心出售,新丰苑一期 ,坊前, 110万,"11,725元/平",2室2厅 , 93.82平米 , 南 , 简装 , 高楼层,共6层, 板塔结合
富力桃园两房76平，次新小区满五唯一，钥匙看房！,富力桃园 ,旺庄, 130万,"17,086元/平",2室1厅 , 76.09平米 , 东南 , 简装 , 中楼层,共29层, 板楼
全屋地暖在租1万，带租金出售，全屋品牌家具家电,万科东郡 ,江溪, 260万,"19,047元/平",3室2厅 , 136.51平米 , 南 北 , 精装 , 中楼层,共30层, 板楼
地铁2号线 荟聚旁  4.6米挑高 复式通燃气 适合居家,五洲国际工业博览城 ,坊前, 50万,"9,049元/平",3室1厅 , 55.26平米 , 北 , 精装 , 中楼层,共20层, 板楼
精装修卖毛坯价格  户型好 看房方便  价格好谈,五洲国际工业博览城 ,坊前, 59.8万,"9,857元/平",4室1厅 , 60.67平米 , 南 , 精装 , 高楼层,共12层, 塔楼
房东诚心卖，装修保养很好，朝西边套,花郡家园·公寓 ,坊前, 66万,"9,692元/平",3室2厅 , 68.1平米 , 东 西 , 精装 , 低楼层,共21层, 塔楼
花郡家园·公寓 3室2厅 西,花郡家园·公寓 ,坊前, 70万,"10,293元/平",3室2厅 , 68.01平米 , 西 , 毛坯 , 低楼层,共21层, 塔楼
户型正气，格局方正，功能完善，通燃气，4.6米挑高,花郡家园·公寓 ,坊前, 58万,"8,517元/平",2室1厅 , 68.1平米 , 南 , 精装 , 中楼层,共21层, 塔楼
万科东郡精装两房，诚心出售，随时可以看,万科东郡 ,江溪, 165万,"16,572元/平",2室1厅 , 99.57平米 , 南 , 精装 , 低楼层,共30层, 板楼
地铁沿线，荟聚旁配套齐全，业主诚心出售,五洲国际工业博览城 ,坊前, 75万,"10,674元/平",2室1厅 , 70.27平米 , 南 , 精装 , 中楼层,共20层, 板楼
五洲国际，双钥匙，复式挑高，通燃气，荟聚旁,五洲国际工业博览城 ,坊前, 50万,"9,116元/平",1室1厅 , 54.85平米 , 北 , 简装 , 中楼层,共20层, 板楼
朝南 带大平台 视野好 采光好 看房方便,五洲国际工业博览城 ,坊前, 45万,"7,529元/平",2室2厅 , 59.77平米 , 南 , 精装 , 低楼层,共20层, 板楼
诚心出售，看房方便，精装保养好,新光大厦 ,旺庄, 125万,"14,537元/平",2室1厅 , 85.99平米 , 南 , 精装 , 高楼层,共19层, 板楼
五洲小时代 朝南大户型 带燃气 电梯房 位置好,五洲国际工业博览城 ,坊前, 81万,"11,527元/平",3室2厅 , 70.27平米 , 南 , 精装 , 中楼层,共20层, 板楼
一户分2户 双钥匙出租 5米挑高 通燃气 看房方便,五洲国际工业博览城 ,坊前, 55万,"10,608元/平",4室2厅 , 51.85平米 , 北 , 精装 , 低楼层,共15层, 板楼
五米阳光 户型方正 双层使用 有燃气 离宜家荟聚近,五洲国际工业博览城 ,坊前, 45万,"7,855元/平",1室1厅 , 57.29平米 , 北 , 毛坯 , 中楼层,共20层, 板楼
耘林生命公寓 2室2厅 南 北,耘林生命公寓 ,新安, 200万,"21,053元/平",2室2厅 , 95平米 , 南 北 , 精装 , 中楼层,共14层, 板楼
融侨一期，人车分离 环境好 ，房东自住 满五年唯一,融侨观邸一期 ,江溪, 230万,"18,615元/平",3室2厅 , 123.56平米 , 南 , 精装 , 中楼层,共33层, 塔楼
多友·嘉悦中心 2室1厅 南,多友·嘉悦中心 ,江溪, 39万,"10,665元/平",2室1厅 , 36.57平米 , 南 , 精装 , 中楼层,共20层, 塔楼
精装修三房 户型方正 采光无遮挡 拎包入住  诚心出售,融侨观邸二期 ,江溪, 143万,"15,734元/平",3室1厅 , 90.89平米 , 南 , 精装 , 低楼层,共31层, 板楼
复试精装修2房，业主急卖。可以谈,阿尔法公馆 ,江溪, 58万,"11,751元/平",2室1厅 , 49.36平米 , 北 , 精装 , 高楼层,共21层, 板楼
东鼎家园小高层，精装小三房，一梯两房，中间楼层,东鼎家园 ,旺庄, 155万,"13,373元/平",3室2厅 , 115.91平米 , 南 , 精装 , 中楼层,共11层, 板楼
永乐东路电梯房东风家园大一室朝南户型出售,东风家园 ,塘南, 59万,"10,660元/平",1室1厅 , 55.35平米 , 南 , 简装 , 高楼层,共18层, 板楼
地铁三号线永乐东路卡拉卡拉旁东风家园大二房,东风家园 ,塘南, 125万,"13,769元/平",2室1厅 , 90.79平米 , 南 , 简装 , 高楼层,共18层, 板楼
国信溪园精装二房，三开间户型，景观楼层。采光耀眼,国信世家溪园 ,坊前, 130万,"14,574元/平",2室2厅 , 89.2平米 , 南 , 精装 , 中楼层,共18层, 板楼
地铁口 大二房 精装修 看房提前预约,金海里 ,江溪, 105万,"12,029元/平",2室2厅 , 87.29平米 , 南 , 精装 , 高楼层,共7层, 板塔结合
上品花园 精装修诚心出售 看房提前联系，价格可以谈，,上品花园 ,梅村, 133万,"14,043元/平",2室2厅 , 94.71平米 , 南 , 精装 , 低楼层,共27层, 板楼
融侨观邸二期精装修 三室两厅 中间楼层诚心出售,融侨观邸二期 ,江溪, 215万,"20,118元/平",3室2厅 , 106.87平米 , 南 , 精装 , 中楼层,共33层, 板楼
此房满五唯一，房东诚心出售，精装修拎包入住。,新洲人家 ,旺庄, 170万,"12,143元/平",3室2厅 , 140平米 , 南 北 , 精装 , 低楼层,共26层, 板塔结合
地铁口位置，小区好，总价低，价格可以商量,长江一号 ,旺庄, 80万,"11,375元/平",1室1厅 , 70.33平米 , 南 , 精装 , 高楼层,共21层, 塔楼
产证满五不唯一 商品房 产权清晰 全天采光 诚心出售,叙康里 ,江溪, 88万,"13,510元/平",2室1厅 , 65.14平米 , 南 北 , 简装 , 中楼层,共7层, 板楼
诚心卖 房子装修保养好 产证清晰 满二唯一近居然之家,富力城C区 ,江溪, 225万,"17,839元/平",4室2厅 , 126.13平米 , 南 , 精装 , 低楼层,共32层, 板楼
叙康里好房出售，中间楼层，满五年,叙康里 ,江溪, 140万,"12,784元/平",3室2厅 , 109.52平米 , 南 , 精装 , 高楼层,共7层, 板楼
金海里 大三房 看房随时有钥匙 得房率 * 高满五唯一,金海里 ,江溪, 128万,"10,877元/平",3室2厅 , 117.69平米 , 南 , 简装 , 高楼层,共7层, 板塔结合
君域豪庭 精装修一室 家电齐全 拎包入住,君域豪庭 ,鸿山, 42万,"8,572元/平",1室1厅 , 49平米 , 南 , 精装 , 低楼层,共19层, 板楼
长江大厦 1室1厅 西北,长江大厦 ,旺庄, 63万,"9,745元/平",1室1厅 , 64.65平米 , 西北 , 精装 , 高楼层,共32层, 塔楼
此房纯毛坯，位置好，带花园和地下室。,融创枫丹御园 ,鸿山, 192万,"12,608元/平",2室2厅 , 152.29平米 , 南 , 毛坯 , 低楼层,共4层, 暂无数据
欧典家园，满五年，精装修保养好，诚心出售，,欧典家园北区 ,江溪, 149.5万,"11,365元/平",3室2厅 , 131.55平米 , 南 , 精装 , 低楼层,共6层, 板楼
叙丰家园边套两房 位置好 楼间距大 视野采光无遮挡,叙丰家园 ,江溪, 85万,"9,135元/平",2室2厅 , 93.05平米 , 南 北 , 简装 , 高楼层,共6层, 板楼
东鼎家园三房116平，满五唯一，户型方正，看房方便,东鼎家园 ,旺庄, 150万,"12,924元/平",3室2厅 , 116.07平米 , 南 , 精装 , 高楼层,共11层, 板楼
此房楼层好，视野开阔，采光充足，配套设施齐全！,国际一花园 ,坊前, 98万,"14,259元/平",2室2厅 , 68.73平米 , 南 , 精装 , 中楼层,共31层, 板楼
业主换房，新装修，楼层好，诚心出售,梅里香舍 ,梅村, 126万,"14,068元/平",2室2厅 , 89.57平米 , 南 , 精装 , 低楼层,共6层, 板塔结合
国际一花园景观楼层，视野好，三开间朝南户型，,国际一花园 ,坊前, 170万,"13,112元/平",3室2厅 , 129.66平米 , 南 , 简装 , 高楼层,共33层, 板楼
满五 不唯一 交通方便 位置好 地铁口近,叙丰家园东区 ,江溪, 63万,"9,556元/平",2室1厅 , 65.93平米 , 南 , 精装 , 低楼层,共18层, 板楼
融侨二期精装大三房 2梯三户 不拥挤 看房方便 靠公园,融侨观邸二期 ,江溪, 235万,"16,810元/平",3室2厅 , 139.8平米 , 南 北 , 精装 , 高楼层,共33层, 板楼
叙康里 中间楼层 房东诚心出售 有钥匙 看房方便,叙康里 ,江溪, 87万,"11,675元/平",2室1厅 , 74.52平米 , 南 , 简装 , 中楼层,共7层, 板楼
新洲人家两房两卫54平，5.2米挑高商品房，有燃气诚售,新洲人家 ,旺庄, 88万,"17,201元/平",2室1厅 , 51.16平米 , 南 北 , 精装 , 高楼层,共15层, 板楼
融侨观邸二期 房龄新 环境好 采光佳,融侨观邸二期 ,江溪, 124万,"16,153元/平",2室2厅 , 76.77平米 , 南 , 精装 , 高楼层,共33层, 板楼
房东诚心出售 自住装修保养好 看房方便 设施全留,梅里香舍 ,梅村, 160万,"11,024元/平",3室2厅 , 145.15平米 , 南 , 精装 , 高楼层,共6层, 板楼
长江北路 长江绿岛三期 一室一厅 观光电梯 繁华新吴区,长江绿岛三期 ,江溪, 71万,"12,242元/平",1室1厅 , 58平米 , 南 , 精装 , 中楼层,共18层, 板塔结合
2房精装修，拎包即住楼层佳采光好，楼间距宽配套齐全,锡梅花园 ,梅村, 116万,"11,807元/平",3室2厅 , 98.25平米 , 北 南 , 精装 , 中楼层,共7层, 板楼
满五唯一无个税 小户型两房 看房方便,叙康里 ,江溪, 72万,"11,000元/平",2室1厅 , 65.46平米 , 南 , 精装 , 高楼层,共7层, 板楼
装修花了20万   现房保养好   位置楼层佳  看房提前约,吉宝季景铭邸 ,江溪, 245万,"24,906元/平",3室2厅 , 98.37平米 , 南 , 精装 , 高楼层,共33层, 板楼
房东诚心出售。地理位置优越，地铁三号线已开通,长江大厦 ,旺庄, 76万,"11,243元/平",1室1厅 , 67.6平米 , 南 , 精装 , 高楼层,共32层, 塔楼
精装大三房 看房预约 朝向好 采光足 位置安静欢迎看房,国际一花园 ,坊前, 168万,"11,531元/平",3室2厅 , 145.7平米 , 南 北 , 精装 , 高楼层,共34层, 板楼
精装修，采光好，房东诚心出售。,阿尔法公馆 ,江溪, 60万,"12,146元/平",1室1厅 , 49.4平米 , 西 , 精装 , 低楼层,共21层, 板楼
上品花园 精装修诚心出售 看房提前联系，价格可以谈，,上品花园 ,梅村, 133万,"14,043元/平",2室2厅 , 94.71平米 , 南 , 精装 , 低楼层,共27层, 板楼
户型好，税费少，房东诚心卖 可商贷,金海里 ,江溪, 75万,"11,208元/平",2室1厅 , 66.92平米 , 南 , 精装 , 中楼层,共7层, 板塔结合
长江北路，3号地铁口，精装两房，两房朝南户型，急售,叙康里 ,江溪, 67万,"10,583元/平",2室1厅 , 63.31平米 , 南 , 精装 , 高楼层,共7层, 板楼
满五唯一 采光十足 户型通透 看房随时 首付低,叙康里 ,江溪, 67万,"10,563元/平",2室1厅 , 63.43平米 , 南 , 精装 , 高楼层,共7层, 板楼
房东诚心出售。地理位置优越，地铁三号线已开通,长江大厦 ,旺庄, 76万,"11,243元/平",1室1厅 , 67.6平米 , 南 , 精装 , 高楼层,共32层, 塔楼
泰伯三期电梯房两房，小高层，户型欧力给，看房随时,泰伯花苑三区 ,梅村, 84万,"8,950元/平",2室2厅 , 93.86平米 , 南 , 毛坯 , 高楼层,共18层, 板楼
新都会大四房！带车库 精装修 房东诚心出售,新都会花园 ,旺庄, 220万,"14,080元/平",4室2厅 , 156.25平米 , 南 北 , 精装 , 中楼层,共23层, 板楼
央企品质 近地铁2号线 次新小区，精装大三房 看房方便,中海寰宇天下东区 ,坊前, 188万,"17,429元/平",3室2厅 , 107.87平米 , 南 , 精装 , 高楼层,共34层, 板楼
叙康里1室 49平米 位置好 顶楼 需要的时间沟通,叙康里 ,江溪, 65万,"13,113元/平",1室1厅 , 49.57平米 , 南 , 简装 , 高楼层,共7层, 板楼
三号线500米距离，精装修，户型方正，价格看中可以谈,万科金域缇香南区 ,江溪, 158万,"15,345元/平",3室1厅 , 102.97平米 , 东南 , 精装 , 高楼层,共33层, 板楼
长江北路 长江绿岛三期 一室一厅 观光电梯 繁华新吴区,长江绿岛三期 ,江溪, 71万,"12,242元/平",1室1厅 , 58平米 , 南 , 精装 , 中楼层,共18层, 板塔结合
香梅人家+小户型精装修+电梯房+采光好,香梅人家 ,梅村, 90万,"13,764元/平",1室1厅 , 65.39平米 , 东南 南 , 精装 , 中楼层,共30层, 板楼
融侨观邸二期精装修 三室两厅 中间楼层诚心出售,融侨观邸二期 ,江溪, 215万,"20,118元/平",3室2厅 , 106.87平米 , 南 , 精装 , 中楼层,共33层, 板楼
精装修 户型方正 随时看房中间楼层,上品花园 ,梅村, 135万,"14,246元/平",3室2厅 , 94.77平米 , 南 , 其他 , 高楼层,共27层, 板楼
央企品质中海打造 户型三房 户型正视野佳 配套齐全,中海寰宇天下东区 ,坊前, 172万,"19,442元/平",3室1厅 , 88.47平米 , 南 , 精装 , 高楼层,共34层, 板楼
房东诚心出售 自住装修保养好 看房方便 设施全留,梅里香舍 ,梅村, 160万,"11,024元/平",3室2厅 , 145.15平米 , 南 , 精装 , 高楼层,共6层, 板楼
业主换房，新装修，楼层好，诚心出售,梅里香舍 ,梅村, 126万,"14,068元/平",2室2厅 , 89.57平米 , 南 , 精装 , 低楼层,共6层, 板塔结合
新港复式两室   婚装保养好  业主诚心卖,新港公寓(新吴区) ,旺庄, 75万,"17,824元/平",2室1厅 , 42.08平米 , 东南 , 精装 , 中楼层,共18层, 板塔结合
雅园一室，民用水电，近地铁3号线，诚心出售，,长江国际雅园 ,江溪, 90万,"15,555元/平",1室1厅 , 57.86平米 , 北 , 精装 , 低楼层,共28层, 板楼
满五 不唯一 交通方便 位置好 地铁口近,叙丰家园东区 ,江溪, 63万,"9,556元/平",2室1厅 , 65.93平米 , 南 , 精装 , 低楼层,共18层, 板楼
